Net,P1Score,P2Score
450,9800,9350
450,9800,9350
450,9800,9350
450,9800,9350
550,9900,9350
850,10200,9350
1000,10500,9500
3050,12600,9550
3225,12800,9575
3175,12800,9625
3375,13000,9625
3650,13300,9650
3950,13600,9650
4250,13900,9650
4112,14200,10088
4312,14400,10088
4612,14700,10088
4375,14900,10525
4638,15300,10662
4938,15600,10662
5138,15800,10662
4362,15900,11538
4462,16000,11538
3012,16000,12988
3012,16000,12988
2775,16200,13425
2875,16300,13425
1662,16400,14738
1288,16600,15312
1350,16800,15450
1312,16900,15588
1312,16900,15588
1375,17100,15725
900,17200,16300
1000,17300,16300
725,17300,16575
1025,17600,16575
250,17700,17450
250,17700,17450
75,17800,17725
175,17900,17725
375,18100,17725
375,18100,17725
200,18200,18000
300,18300,18000
300,18300,18000
300,18300,18000
400,18400,18000
400,18400,18000
500,18500,18000
500,18500,18000
600,18600,18000
700,18700,18000
262,18700,18438
262,18700,18438
262,18700,18438
262,18700,18438
262,18700,18438
262,18700,18438
262,18700,18438
125,18700,18575
125,18700,18575
-12,18700,18712
-12,18700,18712
-12,18700,18712
-12,18700,18712
-450,18700,19150
