Net,P1Score,P2Score
-25,10425,10450
-25,10425,10450
-25,10425,10450
-75,10425,10500
-75,10425,10500
275,10825,10550
225,10825,10600
525,11225,10700
425,11425,11000
750,12100,11350
800,12500,11700
1250,13300,12050
1050,13500,12450
1300,13900,12600
1338,14238,12900
1475,14575,13100
1775,14975,13200
1912,15312,13400
2188,15788,13600
2512,16262,13750
2688,16538,13850
2962,17012,14050
3050,17150,14100
3562,17962,14400
3688,18238,14550
4175,18775,14600
4438,19188,14750
4438,19188,14750
4812,19662,14850
5375,20275,14900
5375,20275,14900
5525,20475,14950
5475,20475,15000
5675,20675,15000
5875,20875,15000
