Net,P1Score,P2Score
0,6800,6800
0,6800,6800
0,6800,6800
0,6800,6800
100,6900,6800
200,7000,6800
300,7100,6800
450,7250,6800
550,7550,7000
600,7800,7200
650,8200,7550
950,8500,7550
850,8600,7750
1300,9150,7850
1300,9400,8100
1200,9600,8400
1250,10050,8800
1450,10350,8900
1500,10650,9150
1800,10950,9150
1900,11200,9300
1800,11350,9550
2050,11700,9650
1950,11900,9950
2050,12100,10050
2450,12500,10050
2450,12700,10250
2550,12800,10250
2850,13100,10250
3000,13350,10350
3150,13500,10350
3250,13600,10350
